"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"May. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","654 749 275"
"Jun. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","656 939 700"
"Jul. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","772 205 093"
"Jan. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","37 545 425"
"Feb. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","31 646 454"
"Mar. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","43 219 562"
"Apr. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","29 767 329"
"May. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","47 097 106"
"Jun. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","48 581 722"
"Jul. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","53 307 263"
"Aug. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","26 993 841"
"Sep. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","28 166 394"
"Oct. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","49 507 770"
"Nov. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","35 481 862"
"Dec. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","55 751 186"
"Jan.-Dec. 2020","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","487 065 914"
"Jan. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","41 893 327"
"Feb. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","50 035 461"
"Mar. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","62 532 739"
"Apr. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","72 900 540"
"May. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","83 990 319"
"Jun. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","111 051 371"
"Jul. 2021","Estonia","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","106 390 874"
"Jan. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","36 378 427"
"Feb. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","43 168 160"
"Mar. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","38 345 023"
"Apr. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","9 267 134"
"May. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","19 633 925"
"Jun. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","11 192 081"
"Jul. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","31 123 889"
"Aug. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","11 546 634"
"Sep. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","13 172 312"
"Oct. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","15 939 221"
"Nov. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","17 612 386"
"Dec. 2020","Ireland (Eire)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","18 112 827"
