"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Aug. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 882 373"
"Sep. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","12 389 621"
"Oct. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 900 643"
"Nov. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","8 132 183"
"Dec. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 064 847"
"Jan.-Dec. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","137 921 565"
"Jan. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","7 757 405"
"Feb. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","15 157 462"
"Mar. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","13 757 617"
"Apr. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 381 708"
"May. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 129 016"
"Jun. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","13 095 231"
"Jul. 2021","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","21 380 029"
"Jan. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","81 255 471"
"Feb. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","91 084 074"
"Mar. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","104 020 598"
"Apr. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","66 458 298"
"May. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","52 237 553"
"Jun. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","95 961 944"
"Jul. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","100 433 049"
"Aug. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","65 029 173"
"Sep. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","101 242 169"
"Oct. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","95 134 608"
"Nov. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","92 366 383"
"Dec. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","108 635 687"
"Jan.-Dec. 2020","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 053 859 007"
"Jan. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","68 775 591"
"Feb. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","99 652 036"
"Mar. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","118 351 840"
"Apr. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","83 538 681"
"May. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","106 051 871"
"Jun. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","94 542 723"
"Jul. 2021","Spain (incl. Canary Islands 'XB' from 1997)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","104 327 824"
"Jan. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","57 325 828"
"Feb. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","74 428 255"
"Mar. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","68 174 933"
"Apr. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","43 205 066"
"May. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","55 604 768"
"Jun. 2020","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","61 051 678"
